date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:41:47	147431/147431	---M--	200	added ('OK')	image/jpeg	etag:%2223fe7-5baaa1c37b2f9%22	https://preview.colorlib.com/theme/abcbook/assets/img/hero/h2_hero2.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/hero/h2_hero2.jpg	(from https://preview.colorlib.com/theme/abcbook/assets/css/style.css)
15:41:47	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Jun%202025%2008:41:48%20GMT	https://preview.colorlib.com/theme/abcbook/assets/img/hero/h1_hero.png	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/hero/h1_hero.png	(from https://preview.colorlib.com/theme/abcbook/assets/css/style.css)
15:41:48	1661/1661	---M--	200	added ('OK')	image/png	etag:%2267d-5baaa1a64b962%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/primary-check.png	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/primary-check.png	(from https://preview.colorlib.com/theme/abcbook/assets/css/style.css)
15:41:48	1205/1205	---M--	200	added ('OK')	image/png	etag:%224b5-5baaa1a138c5b%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/success-check.png	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/success-check.png	(from https://preview.colorlib.com/theme/abcbook/assets/css/style.css)
15:41:48	1249/1249	---M--	200	added ('OK')	image/png	etag:%224e1-5baaa1ac3e07f%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/disabled-check.png	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/disabled-check.png	(from https://preview.colorlib.com/theme/abcbook/assets/css/style.css)
15:41:49	1284/1284	---M--	200	added ('OK')	image/png	etag:%22504-5baaa1a3fad1c%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/primary-radio.png	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/primary-radio.png	(from https://preview.colorlib.com/theme/abcbook/assets/css/style.css)
15:41:49	1209/1209	---M--	200	added ('OK')	image/png	etag:%224b9-5baaa19d2da09%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/success-radio.png	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/success-radio.png	(from https://preview.colorlib.com/theme/abcbook/assets/css/style.css)
15:41:49	1173/1173	---M--	200	added ('OK')	image/png	etag:%22495-5baaa1abb9385%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/disabled-radio.png	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/disabled-radio.png	(from https://preview.colorlib.com/theme/abcbook/assets/css/style.css)
15:41:50	5088/5088	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Feb%202021%2012:04:34%20GMT	https://preview.colorlib.com/theme/abcbook/register.html	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/register.html	(from https://preview.colorlib.com/theme/abcbook/login.html)
15:41:50	785/785	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Jun%202025%2008:41:51%20GMT	https://preview.colorlib.com/theme/abcbook/assets/img/gallery/card.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/gallery/card.jpg	(from https://preview.colorlib.com/theme/abcbook/checkout.html)
15:41:51	34481/34481	---M--	200	added ('OK')	image/jpeg	etag:%2286b1-5baaa19244b04%22	https://preview.colorlib.com/theme/abcbook/assets/img/blog/single_blog_1.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/blog/single_blog_1.jpg	(from https://preview.colorlib.com/theme/abcbook/blog_details.html)
15:41:51	1561/1561	---M--	200	added ('OK')	image/jpeg	etag:%22619-5baaa17472fb4%22	https://preview.colorlib.com/theme/abcbook/assets/img/post/preview.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/post/preview.jpg	(from https://preview.colorlib.com/theme/abcbook/blog_details.html)
15:41:51	1360/1360	---M--	200	added ('OK')	image/jpeg	etag:%22550-5baaa17b1dfe9%22	https://preview.colorlib.com/theme/abcbook/assets/img/post/next.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/post/next.jpg	(from https://preview.colorlib.com/theme/abcbook/blog_details.html)
15:41:52	17489/17489	---M--	200	added ('OK')	image/png	etag:%224451-5baaa1968f4f3%22	https://preview.colorlib.com/theme/abcbook/assets/img/blog/author.png	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/blog/author.png	(from https://preview.colorlib.com/theme/abcbook/blog_details.html)
15:41:52	11303/11303	---M--	200	added ('OK')	image/png	etag:%222c27-5baaa19408d50%22	https://preview.colorlib.com/theme/abcbook/assets/img/blog/comment_1.png	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/blog/comment_1.png	(from https://preview.colorlib.com/theme/abcbook/blog_details.html)
15:41:52	10561/10561	---M--	200	added ('OK')	image/png	etag:%222941-5baaa1943e8ae%22	https://preview.colorlib.com/theme/abcbook/assets/img/blog/comment_2.png	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/blog/comment_2.png	(from https://preview.colorlib.com/theme/abcbook/blog_details.html)
15:41:53	11401/11401	---M--	200	added ('OK')	image/png	etag:%222c89-5baaa195405a2%22	https://preview.colorlib.com/theme/abcbook/assets/img/blog/comment_3.png	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/blog/comment_3.png	(from https://preview.colorlib.com/theme/abcbook/blog_details.html)
15:41:53	2466/2466	---M--	200	added ('OK')	image/jpeg	etag:%229a2-5baaa17473f54%22	https://preview.colorlib.com/theme/abcbook/assets/img/post/post_1.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/post/post_1.jpg	(from https://preview.colorlib.com/theme/abcbook/blog_details.html)
15:41:53	1866/1866	---M--	200	added ('OK')	image/jpeg	etag:%2274a-5baaa1759ae07%22	https://preview.colorlib.com/theme/abcbook/assets/img/post/post_2.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/post/post_2.jpg	(from https://preview.colorlib.com/theme/abcbook/blog_details.html)
15:41:54	1920/1920	---M--	200	added ('OK')	image/jpeg	etag:%22780-5baaa1759dce7%22	https://preview.colorlib.com/theme/abcbook/assets/img/post/post_3.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/post/post_3.jpg	(from https://preview.colorlib.com/theme/abcbook/blog_details.html)
15:41:54	1651/1651	---M--	200	added ('OK')	image/jpeg	etag:%22673-5baaa17880146%22	https://preview.colorlib.com/theme/abcbook/assets/img/post/post_4.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/post/post_4.jpg	(from https://preview.colorlib.com/theme/abcbook/blog_details.html)
15:41:54	3389/3389	---M--	200	added ('OK')	image/jpeg	etag:%22d3d-5baaa177c0ace%22	https://preview.colorlib.com/theme/abcbook/assets/img/post/post_5.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/post/post_5.jpg	(from https://preview.colorlib.com/theme/abcbook/blog_details.html)
15:41:55	2312/2312	---M--	200	added ('OK')	image/jpeg	etag:%22908-5baaa176bde3a%22	https://preview.colorlib.com/theme/abcbook/assets/img/post/post_6.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/post/post_6.jpg	(from https://preview.colorlib.com/theme/abcbook/blog_details.html)
15:41:55	3087/3087	---M--	200	added ('OK')	image/jpeg	etag:%22c0f-5baaa1773ecb4%22	https://preview.colorlib.com/theme/abcbook/assets/img/post/post_7.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/post/post_7.jpg	(from https://preview.colorlib.com/theme/abcbook/blog_details.html)
15:41:55	2320/2320	---M--	200	added ('OK')	image/jpeg	etag:%22910-5baaa17987bfa%22	https://preview.colorlib.com/theme/abcbook/assets/img/post/post_8.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/post/post_8.jpg	(from https://preview.colorlib.com/theme/abcbook/blog_details.html)
